start	end	locality_key	plot	life_condition	coordinates	_coordinates_latitude	_coordinates_longitude	_coordinates_altitude	_coordinates_precision	person_key	tree_number	sampled	photo_tree	tree_diameter_category	tree_heigth	tree_nodes	tree_health	tree_health/healthy	tree_health/ozone	tree_health/fungi	tree_health/drougth	tree_health/worm	tree_health/insect	tree_health/acid_rain	tree_health/other	ozone_damage_percentage	ozone_damage_percentage/less_10	ozone_damage_percentage/10-40	ozone_damage_percentage/50	ozone_damage_percentage/50-70	ozone_damage_percentage/70-100	ozone_damage_percentage/option_6	other_damages_percentage	other_damages_percentage/less_10	other_damages_percentage/10-40	other_damages_percentage/50	other_damages_percentage/50-70	other_damages_percentage/70-100	other_damages_percentage/option_6	photo_health	bud	photo_bud	branch_nodes	nodes_with_leaves	photo_branch	cones	cone_sex	photo_cones	tree_exposition	surronding_vegetation	surronding_vegetation/fir	surronding_vegetation/pine	surronding_vegetation/oak	surronding_vegetation/bush	surronding_vegetation/grass	surronding_vegetation/other	reforested	reforestation_code	__version__	_version_	_Se_colectaron_ac_culas	_id	_uuid	_submission_time	_validation_status	_index							
2020-12-15T11:51:05.297-06:00		CX																																																									vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7091	9ef47fe0-f12a-4f68-b54e-cd03732befcd	2020-12-15T23:37:52		1							
2020-12-15T11:50:46.825-06:00		CX																																																									vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7090	eacef8e4-c6ed-4225-b565-beae6e508451	2020-12-15T23:37:51		2							
2021-01-15T11:50:14.676-06:00	2021-01-15T11:52:15.398-06:00	CX	46	dead	19.292413 -99.295606 3468.0 7.901	19.292413	-99.295606	3468	7.901				1610733100880.jpg	40_cm	20																																		cover	fir grass other	1	0	0	0	1	1	no		vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		9689	f065a6b1-052d-4f36-a550-4d935b296015	2021-01-15T22:44:33		3							
2020-12-20T11:06:05.030-06:00	2020-12-20T11:11:06.002-06:00	PN	35	alive	19.2958727 -99.3191662 3114.294677734375 4.931	19.2958727	-99.3191662	3114.294678	4.931	D	129	yes	1608484086681.jpg	1_cm	1.6	6	ozone other	0	1	0	0	0	0	0	1	50	0	0	1	0	0	0								1608484173377.jpg	closed	1608484189970.jpg	3	3	1608484239197.jpg	no			exposed	grass bush fir	1	0	0	1	1	0	yes	NP	vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		8375	72044655-2ab8-465b-ba3a-d09003c29746	2020-12-20T22:35:29		4							
2021-01-15T12:15:20.581-06:00	2021-01-15T12:17:16.083-06:00	CX	46	dead	19.2924826 -99.2955698 3472.8818359375 4.694	19.2924826	-99.2955698	3472.881836	4.694				1610734557987.jpg	30_cm	5	5																																	exposed	fir grass other	1	0	0	0	1	1	no		vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		9678	5030c236-b142-4b20-8cbd-ab2b9916329a	2021-01-15T22:39:00		5							
2020-12-15T11:36:21.624-06:00	2020-12-15T11:42:50.568-06:00	CX	1	alive	19.2901832 -99.2991546 3498.00634765625 4.288	19.2901832	-99.2991546	3498.006348	4.288	D	8	yes	1608054012364.jpg	1_cm	0.5	5	healthy	1	0	0	0	0	0	0	0															1608054064594.jpg	closed	1608054080286.jpg	2	2	1608054124123.jpg	no			exposed	fir pine grass	1	1	0	0	1	0	no		vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7061	8ff4a1c5-09f6-43ea-b3a3-ba119b8c30f0	2020-12-15T23:32:17		6							
2020-12-16T14:53:22.039-06:00	2020-12-16T14:54:24.273-06:00	CX	10	dead									1608152034295.jpg	1_cm	3	8																																	cover	fir grass	1	0	0	0	1	0	no		vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7590	97e44e8f-b9da-4aab-be35-c7325d4971e8	2020-12-17T02:32:35		7							
2020-12-15T11:32:52.783-06:00	2020-12-15T11:53:14.217-06:00	CX	3	alive	19.2904466 -99.2992221 3451.2964845998213 4.9	19.2904466	-99.2992221	3451.296485	4.9	E	7	yes	1608053649034.jpg	0.5_cm	0.3	4	ozone acid_rain	0	1	0	0	0	0	1	0	Oct-40	0	1	0	0	0	0								1608053718640.jpg	closed	1608053744951.jpg	2	1	1608053828972.jpg	no			cover	grass	0	0	0	0	1	0	no		vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7085	b5e12ef5-df0e-40e8-8335-0110ddf85355	2020-12-15T23:36:20		8							
2020-12-15T11:22:32.857-06:00	2020-12-15T11:29:59.669-06:00	CX	3	alive	19.2905373 -99.2992415 3482.1226027347147 4.9	19.2905373	-99.2992415	3482.122603	4.9	E	6	yes	1608053198512.jpg	0.5_cm	0.3	4	healthy	1	0	0	0	0	0	0	0															1608053255439.jpg	closed	1608053292025.jpg	2	2	1608053343597.jpg	no			cover	grass	0	0	0	0	1	0	no		vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7084	55e70374-1192-4cde-a1e6-84835ae747d9	2020-12-15T23:36:06		9							
2020-12-15T11:34:30.109-06:00	2020-12-15T11:45:40.106-06:00	CX	2	alive	19.2905374 -99.2990127 3484.693603515625 4.873	19.2905374	-99.2990127	3484.693604	4.873	H	3	yes	1608053898158.jpg	6_cm	3.2	9	ozone	0	1	0	0	0	0	0	0	Oct-40	0	1	0	0	0	0								1608054098088.jpg	closed	1608054215070.jpg	4	4	1608054273323.jpg	no			exposed	pine other	0	1	0	0	0	1	yes	Np	vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7081	0e897a8c-b204-45c5-bec3-2bbc6bfb2554	2020-12-15T23:35:23		10							
2020-12-15T10:50:25.146-06:00	2020-12-15T10:58:00.697-06:00	CX	1	alive						J	3	yes	1608051207686.jpg	6_cm	3.5	6	healthy	1	0	0	0	0	0	0	0															1608051308237.jpg	closed	1608051398227.jpg	5	5	1608051452409.jpg	no			exposed	fir bush grass other	1	0	0	1	1	1	yes	2013	vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7083	8e6383a4-c57b-4578-9e11-77b6f2015002	2020-12-15T23:35:29		11							
2020-12-16T12:57:54.512-06:00	2021-01-25T19:40:19.733-06:00	CX	10	alive	19.2903456 -99.3064925 3508.403564453125 4.894	19.2903456	-99.3064925	3508.403564	4.894	B	51	yes	1608145192788.jpg	40_cm	25		drougth	0	0	0	1	0	0	0	0								less_10	1	0	0	0	0	0	1608145805958.jpg	closed	1608145338777.jpg	14	5	1608145585483.jpg	yes	female	1608145999815.jpg	exposed	fir bush grass other	1	0	0	1	1	1	no		vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7743	b9ccd4fd-b3c8-4f8f-992f-245be180a56a	2020-12-17T22:34:46		12							
