start	end	locality_key	plot	reforestation_notes	coordinates	_coordinates_latitude	_coordinates_longitude	_coordinates_altitude	_coordinates_precision	photo_plot	dominant_spp	dominant_spp/Pinus_ayacauite	dominant_spp/Pinus_hartwegii	dominant_spp/Abies_religiosa	dominant_spp/Poaceae	dominant_spp/Buddleja_corda	dominant_spp/Baccharis_conferta	dominant_spp/Senecio_cinerarioides	dominant_spp/otros	dominant_spp_others	ozone_damage_veg	slope	topography	soil_texture	organic_matter	tree_coverage	shrubs_coverage	observations	__version__	_version_	_id	_uuid	_submission_time	_validation_status	_index
2020-12-15T10:24:01.736-06:00	2020-12-15T10:26:05.350-06:00	CX	1	2013 vivero santa rosa	19.2902507 -99.2990111 3520.6015070425346 5.0	19.2902507	-99.2990111	3520.6015070425346	5.0	1608049514777.jpg	Pinus_hartwegii Abies_religiosa	0	1	1	0	0	0	0	0		10_to_40	5	flat	fine	1_to_5	10_40	none	P	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	7229	52091f64-36cb-44dc-98b5-6721e1ac80e9	2020-12-16T00:45:19		1
2020-12-15T10:29:41.955-06:00	2020-12-15T10:32:15.957-06:00	CX	2	2013 vivero santa rosa	19.2906827 -99.2991719 3489.2794988332316 5.0	19.2906827	-99.2991719	3489.2794988332316	5.0	1608049866132.jpg	Pinus_hartwegii Abies_religiosa	0	1	1	0	0	0	0	0		10_to_40	5	flat	fine	more_5	40_70	none		vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	7230	e84bcdd6-5414-444c-b14e-65258c266c74	2020-12-16T00:45:21		2
2020-12-15T12:45:13.013-06:00	2020-12-15T14:10:02.451-06:00	CX	6	2013 vivero santa rosa	19.2928593 -99.2987155 3358.2163791377097 9.057	19.2928593	-99.2987155	3358.2163791377097	9.057	1608058047353.jpg	Pinus_hartwegii	0	1	0	0	0	0	0	0		10_to_40	15	slope_top_valley	fine	1_to_5	40_70	none	"Muchísima regeneración natural, se toman una de cada tres plantas"	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	7243	945359c6-47e0-44b3-939a-061c26ba6076	2020-12-16T00:48:08		3
2020-12-17T10:15:44.536-06:00	2020-12-17T10:24:29.723-06:00	CX	18	2013 vivero santa rosa. Y 2000 ayacahuites sedema.	19.2853903 -99.3020956 3467.9890718525276 5.0	19.2853903	-99.3020956	3467.9890718525276	5.0	1608221885209.jpg	Pinus_ayacauite Abies_religiosa Baccharis_conferta Senecio_cinerarioides	1	0	1	0	0	1	1	0		70_to_100	40	slope_top_valley	fine	1_to_5	40_70	40_70	Árboles F67 muestreadoantes (A02 Vero) y F61 quizá muestreado por Vero. El área se quemó en el 98 y era bosque de oyamel	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	7961	5162332f-b7e0-4ae2-8372-16e526cfea14	2020-12-18T21:55:36		4
2020-12-17T10:54:16.917-06:00	2020-12-17T10:58:08.055-06:00	CX	16	2013 vivero santa rosa. 2000 sedema ayacahuite	19.285805 -99.3018587 3479.1706828922033 5.45	19.285805	-99.3018587	3479.1706828922033	5.45	1608224157047.jpg	Pinus_ayacauite Baccharis_conferta	1	0	0	0	0	1	0	0		40_to_70	30	slope_top_valley	fine	1_to_5	10_40	40_70	Se quemó en el 98 y era de oyamel	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	7963	745f8ff4-d5d8-4f62-a19a-2a9dadac307b	2020-12-18T21:57:10		5
2020-12-18T10:17:01.283-06:00	2020-12-18T10:23:10.059-06:00	CX	22	No	19.302562 -99.2928275 3281.649710218422 5.0	19.302562	-99.2928275	3281.649710218422	5.0	1608308358229.jpg	Abies_religiosa Senecio_cinerarioides otros	0	0	1	0	0	0	1	1	helechos y hierbas altas	ausente	45	slope_mid_valley	fine	more_5	more_70	40_70	Zona bien conservada que nunca se ha quemado	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	8048	9e2234da-4057-44b4-8532-bf4ad5c0028d	2020-12-19T01:40:03		6
2020-12-15T12:37:42.284-06:00	2020-12-15T12:41:50.528-06:00	CX	5	2013 vivero santa rosa	19.2928905 -99.2988214 3521.688601492904 5.738	19.2928905	-99.2988214	3521.688601492904	5.738	1608057575651.jpg	Abies_religiosa	0	0	1	0	0	0	0	0		10_to_40	15	slope_top_valley	fine	more_5	40_70	none	Conos en el suelo	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	7242	57f1505e-4f7b-4c47-9226-339a03f173ee	2020-12-16T00:48:04		7
2020-12-16T10:31:23.915-06:00	2020-12-16T10:34:41.491-06:00	CX	9	2013 y 2014 vivero santa rosa 	19.2908247 -99.3024647 3536.4625754961744 5.0	19.2908247	-99.3024647	3536.4625754961744	5.0	1608136393266.jpg	Pinus_hartwegii Abies_religiosa	0	1	1	0	0	0	0	0		10_to_40	15	slope_top_valley	fine	more_5	10_40	none		vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	7833	5c7fdab4-a0a5-470c-b436-7293d4be19c2	2020-12-17T23:22:05		8
2020-12-15T12:30:51.645-06:00	2020-12-15T12:34:46.869-06:00	CX	4	2013 vivero santa rosa	19.2922675 -99.2992606 3478.8687948090956 5.0	19.2922675	-99.2992606	3478.8687948090956	5.0	1608057138564.jpg	Pinus_hartwegii Abies_religiosa	0	1	1	0	0	0	0	0		10_to_40	15	slope_top_valley	fine	1_to_5	more_70	none		vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	7241	cbb673a2-ee64-4870-9695-eaa3c7e028a0	2020-12-16T00:48:01		9
2020-12-15T10:17:13.001-06:00	2020-12-15T10:21:28.851-06:00	CX	3	2013 santa rosa 	19.2901363 -99.2992733 3561.781206727959 5.0	19.2901363	-99.2992733	3561.781206727959	5.0	1608049132887.jpg	Pinus_hartwegii	0	1	0	0	0	0	0	0		10_to_40	0	flat	fine	1_to_5	more_70	none		vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	7228	77d1a6e7-267e-409e-b66b-2a83ab1b8c1e	2020-12-16T00:45:15		10
2020-12-16T12:59:04.912-06:00	2020-12-16T13:03:27.533-06:00	CX	11	No	19.2908924 -99.3064379 3406.353752337396 5.0	19.2908924	-99.3064379	3406.353752337396	5.0	1608145217731.jpg	Abies_religiosa	0	0	1	0	0	0	0	0		10_to_40	25	slope_mid_valley	fine	1_to_5	40_70	5_10	Los musgos están húmedos aunque sea secas. Aquí se quemó pero sobrevivieron los más grandes.	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	7884	cb0f3b20-b023-476c-9319-8cfb0e439b8f	2020-12-18T02:45:46		11
2020-12-16T10:23:42.817-06:00	2020-12-16T10:27:30.308-06:00	CX	8	"2013 vivero santa rosa, 2016 y 2017 puebla "	19.2904753 -99.3029812 3521.635017281398 5.084	19.2904753	-99.3029812	3521.635017281398	5.084	1608135957194.jpg	Pinus_hartwegii Abies_religiosa	0	1	1	0	0	0	0	0		40_to_70	15	slope_top_valley	fine	1_to_5	10_40	none		vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	7832	7bc0d2fb-a145-44fa-857c-f3f03e177187	2020-12-17T23:21:30		12
2020-12-16T10:16:53.763-06:00	2020-12-16T10:21:21.468-06:00	CX	7	"2013 vivero santa rosa, 2017 huauchinango puebla"	19.2897147 -99.3034099 3510.027391795069 6.756	19.2897147	-99.3034099	3510.027391795069	6.756	1608135518251.jpg	Abies_religiosa Poaceae Pinus_hartwegii	0	1	1	1	0	0	0	0		40_to_70	5	top	medium	less_1	5_10	none	En límite bosque transición a pastizal	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	7831	c19e7c03-e0bd-499e-9ff8-4cec62948940	2020-12-17T23:20:52		13
