"start"	"end"	"locality_key"	"plot"	"reforestation_notes"	"X_coordinates_latitude"	"X_coordinates_longitude"	"X_coordinates_altitude"	"X_coordinates_precision"	"photo_plot"	"dominant_spp"	"ozone_damage_veg"	"slope"	"topography"	"soil_texture"	"organic_matter"	"tree_coverage"	"shrubs_coverage"	"observations"	"X_validation_status"	"healthy"	"ozone"	"ozone_and_other"	"drougth"	"acid_rain"	"other"	"others_combined"	"dead"	"fungi"	"insect"	"worm"
"1"	"2020-12-15T10:24:01.736-06:00"	"2020-12-15T10:26:05.350-06:00"	"CX"	1	"2013 vivero santa rosa"	19.2902507	-99.2990111	3520.60150704253	5	"1608049514777.jpg"	"Pinus_hartwegii Abies_religiosa"	"10_to_40"	5	"flat"	"fine"	"1_to_5"	"10_40"	"none"	"P"	NA	42	10	1	1	0	0	0	0	0	0	0
"2"	"2020-12-15T10:29:41.955-06:00"	"2020-12-15T10:32:15.957-06:00"	"CX"	2	"2013 vivero santa rosa"	19.2906827	-99.2991719	3489.27949883323	5	"1608049866132.jpg"	"Pinus_hartwegii Abies_religiosa"	"10_to_40"	5	"flat"	"fine"	"more_5"	"40_70"	"none"	""	NA	15	3	0	3	0	0	0	0	0	0	0
"3"	"2020-12-15T12:45:13.013-06:00"	"2020-12-15T14:10:02.451-06:00"	"CX"	6	"2013 vivero santa rosa"	19.2928593	-99.2987155	3358.21637913771	9.057	"1608058047353.jpg"	"Pinus_hartwegii"	"10_to_40"	15	"slope_top_valley"	"fine"	"1_to_5"	"40_70"	"none"	"Muchísima regeneración natural, se toman una de cada tres plantas"	NA	27	23	7	6	0	1	0	0	0	0	0
"4"	"2020-12-17T10:15:44.536-06:00"	"2020-12-17T10:24:29.723-06:00"	"CX"	18	"2013 vivero santa rosa. Y 2000 ayacahuites sedema."	19.2853903	-99.3020956	3467.98907185253	5	"1608221885209.jpg"	"Pinus_ayacauite Abies_religiosa Baccharis_conferta Senecio_cinerarioides"	"70_to_100"	40	"slope_top_valley"	"fine"	"1_to_5"	"40_70"	"40_70"	"Árboles F67 muestreadoantes (A02 Vero) y F61 quizá muestreado por Vero. El área se quemó en el 98 y era bosque de oyamel"	NA	3	3	2	0	0	0	0	0	0	0	0
"5"	"2020-12-17T10:54:16.917-06:00"	"2020-12-17T10:58:08.055-06:00"	"CX"	16	"2013 vivero santa rosa. 2000 sedema ayacahuite"	19.285805	-99.3018587	3479.1706828922	5.45	"1608224157047.jpg"	"Pinus_ayacauite Baccharis_conferta"	"40_to_70"	30	"slope_top_valley"	"fine"	"1_to_5"	"10_40"	"40_70"	"Se quemó en el 98 y era de oyamel"	NA	2	0	7	2	0	1	0	2	0	0	0
"6"	"2020-12-18T10:17:01.283-06:00"	"2020-12-18T10:23:10.059-06:00"	"CX"	22	"No"	19.302562	-99.2928275	3281.64971021842	5	"1608308358229.jpg"	"Abies_religiosa Senecio_cinerarioides otros"	"ausente"	45	"slope_mid_valley"	"fine"	"more_5"	"more_70"	"40_70"	"Zona bien conservada que nunca se ha quemado"	NA	2	3	0	1	0	0	0	0	0	0	0
"7"	"2020-12-15T12:37:42.284-06:00"	"2020-12-15T12:41:50.528-06:00"	"CX"	5	"2013 vivero santa rosa"	19.2928905	-99.2988214	3521.6886014929	5.738	"1608057575651.jpg"	"Abies_religiosa"	"10_to_40"	15	"slope_top_valley"	"fine"	"more_5"	"40_70"	"none"	"Conos en el suelo"	NA	23	6	3	10	5	2	5	2	0	0	0
"8"	"2020-12-16T10:31:23.915-06:00"	"2020-12-16T10:34:41.491-06:00"	"CX"	9	"2013 y 2014 vivero santa rosa "	19.2908247	-99.3024647	3536.46257549617	5	"1608136393266.jpg"	"Pinus_hartwegii Abies_religiosa"	"10_to_40"	15	"slope_top_valley"	"fine"	"more_5"	"10_40"	"none"	""	NA	22	6	11	10	0	4	1	0	0	0	0
"9"	"2020-12-15T12:30:51.645-06:00"	"2020-12-15T12:34:46.869-06:00"	"CX"	4	"2013 vivero santa rosa"	19.2922675	-99.2992606	3478.8687948091	5	"1608057138564.jpg"	"Pinus_hartwegii Abies_religiosa"	"10_to_40"	15	"slope_top_valley"	"fine"	"1_to_5"	"more_70"	"none"	""	NA	29	10	5	0	1	14	9	0	0	0	0
"10"	"2020-12-15T10:17:13.001-06:00"	"2020-12-15T10:21:28.851-06:00"	"CX"	3	"2013 santa rosa "	19.2901363	-99.2992733	3561.78120672796	5	"1608049132887.jpg"	"Pinus_hartwegii"	"10_to_40"	0	"flat"	"fine"	"1_to_5"	"more_70"	"none"	""	NA	23	9	2	0	1	0	0	0	0	0	0
"11"	"2020-12-16T12:59:04.912-06:00"	"2020-12-16T13:03:27.533-06:00"	"CX"	11	"No"	19.2908924	-99.3064379	3406.3537523374	5	"1608145217731.jpg"	"Abies_religiosa"	"10_to_40"	25	"slope_mid_valley"	"fine"	"1_to_5"	"40_70"	"5_10"	"Los musgos están húmedos aunque sea secas. Aquí se quemó pero sobrevivieron los más grandes."	NA	14	24	14	0	0	3	8	0	0	0	0
"12"	"2020-12-16T10:23:42.817-06:00"	"2020-12-16T10:27:30.308-06:00"	"CX"	8	"2013 vivero santa rosa, 2016 y 2017 puebla "	19.2904753	-99.3029812	3521.6350172814	5.084	"1608135957194.jpg"	"Pinus_hartwegii Abies_religiosa"	"40_to_70"	15	"slope_top_valley"	"fine"	"1_to_5"	"10_40"	"none"	""	NA	26	7	1	1	1	3	5	0	0	0	0
"13"	"2020-12-16T10:16:53.763-06:00"	"2020-12-16T10:21:21.468-06:00"	"CX"	7	"2013 vivero santa rosa, 2017 huauchinango puebla"	19.2897147	-99.3034099	3510.02739179507	6.756	"1608135518251.jpg"	"Abies_religiosa Poaceae Pinus_hartwegii"	"40_to_70"	5	"top"	"medium"	"less_1"	"5_10"	"none"	"En límite bosque transición a pastizal"	NA	25	2	1	12	2	3	3	0	1	0	0
